Decaf Colombia
Run #01
elapsed, t_avg(10)
06:28.5, 463.0
06:29.4, 463.3
06:30.4, 464.1
06:31.3, 464.8
06:32.3, 465.3
06:33.2, 466.1
06:34.2, 465.9
06:35.1, 466.3
06:36.1, 466.4
06:37.0, 465.8
06:38.0, 466.2
06:38.9, 466.8
06:39.9, 466.8
06:40.8, 467.0
06:41.8, 467.0
06:42.7, 466.7
06:43.7, 466.7
06:44.6, 467.2
06:45.6, 467.6
06:46.5, 468.3
06:47.5, 468.5
06:48.5, 469.0
06:49.4, 469.2
06:50.4, 469.0
06:51.3, 468.7
06:52.3, 468.7
06:53.2, 469.0
06:54.2, 468.7
06:55.1, 468.4
06:56.1, 468.3
06:57.0, 468.3
06:58.0, 467.8
06:58.9, 467.6
06:59.9, 468.0
07:00.8, 468.3
07:01.8, 468.7
07:02.7, 468.5
07:03.7, 468.5
07:04.6, 468.2
07:05.6, 465.7
07:06.5, 461.8
07:07.5, 455.9
07:08.5, 449.5
07:09.4, 441.3
07:10.4, 431.9
07:11.3, 421.9
07:12.3, 411.3
07:13.2, 400.2
07:14.2, 388.7
07:15.1, 378.3
07:16.1, 369.1
07:17.0, 360.9
07:18.0, 352.8
07:18.9, 345.9
07:19.9, 339.6
07:20.9, 334.1
07:21.8, 328.8
07:22.8, 323.6
07:23.7, 318.5
07:24.7, 313.9
07:25.6, 309.3
07:26.6, 306.1
07:27.5, 302.5
07:28.5, 298.8
07:29.4, 295.5
07:30.4, 291.8
07:31.3, 288.6
07:32.3, 285.9
07:33.2, 283.7
07:34.2, 281.4
07:35.1, 279.3
07:36.1, 276.4
07:37.0, 273.7
07:38.0, 271.6
07:38.9, 269.6
07:39.9, 267.5
07:40.8, 265.4
07:41.8, 263.0
07:42.7, 260.5
07:43.7, 258.3
07:44.6, 255.9
07:45.6, 254.0
07:46.5, 252.5
07:47.5, 250.6
07:48.5, 248.5
07:49.4, 246.5
07:50.4, 244.4
07:51.3, 242.1
07:52.3, 240.1
07:53.2, 238.5
07:54.2, 236.8
07:55.1, 235.0
07:56.1, 232.8
07:57.0, 231.2
07:58.0, 229.5
07:58.9, 228.0
07:59.9, 226.5
08:00.8, 225.3
08:01.8, 224.1
08:02.7, 222.7
08:03.7, 221.4
08:04.6, 219.9
08:05.6, 219.0
