Ethiopia Sidamo,,,,,,
Run #18,T_amb=71.7,,,,,
elapsed, t_avg(15), t_bean,,,,
06:50,459.5,461.3,Err:502,,,
06:52,464.1,463.1,Err:502,,,
06:54,463.1,463.1,Err:502,,,
06:56,464.5,461.8,Err:502,,,
06:58,463,467.1,Err:502,,,
07:00,465.2,469.4,Err:502,,,
07:02,466.5,465.8,Err:502,,,
07:04,467.8,468.9,Err:502,,,
07:06,464.8,467.1,Err:502,,,
07:08,466,468.5,Err:502,,,
07:10,467.1,469.4,Err:502,,,
07:12,466.7,462.2,Err:502,,,
07:14,461.5,452.3,Err:502,,,
07:16,435.5,408.2,Err:502,,,
07:18,414.6,405.9,Err:502,,,
07:20,395.7,392.4,Err:502,,,
07:22,381.1,375.4,Err:502,,,
07:24,367.2,363.2,Err:502,,,
07:26,352.3,346.6,Err:502,,,
07:28,344.5,340.7,Err:502,,,
07:30,335.3,327.2,Err:502,,,
07:32,326.1,324.1,Err:502,,,
07:34,319.1,315.9,Err:502,,,
07:36,311.3,307.4,Err:502,,,
07:38,304.7,303.4,Err:502,,,
07:40,298.9,298.9,Err:502,,,
07:42,295.4,296.1,Err:502,,,
07:44,288.9,287.6,Err:502,,,
07:46,283.6,282.6,Err:502,,,
07:48,279.4,275.9,Err:502,,,
07:50,273.2,272.3,Err:502,,,
07:52,266.6,266,Err:502,,,
07:54,262.2,261.1,Err:502,,,
07:56,259.4,257.4,Err:502,,,
07:58,256.1,252.1,Err:502,,,
08:00,249.1,249.3,Err:502,,,
08:02,247.2,244.4,Err:502,,,
08:04,243.3,242.6,Err:502,,,
08:06,239,239.4,Err:502,,,
08:08,236.9,232.7,Err:502,,,
08:10,231.4,229.1,Err:502,,,
08:12,228.8,226.8,Err:502,,,
08:14,225.9,223.7,Err:502,,,
08:16,223.1,221.4,Err:502,,,
08:18,221.4,219.7,Err:502,,,
08:20,217.7,217.4,Err:502,,,
08:22,215.3,212.9,Err:502,,,
08:24,211.8,210.7,Err:502,,,
08:26,209.4,204.8,Err:502,,,
08:28,207.4,206.6,Err:502,,,
08:30,204.6,203.9,Err:502,,,
08:32,201.2,202.6,Err:502,,,
08:34,200.6,199.4,Err:502,,,
